interests,category
"чтение классической литературы","Книги"
"люблю фантастику и научпоп","Книги"
"поэзия и проза","Книги"
"остросюжетные детективы","Книги"
"современная философия","Книги"
"занятия бегом на улице","Спорт"
"йога и пилатес","Спорт"
"игры на приставке","Электроника"
"новые технологические гаджеты","Электроника"
"слушаю музыку каждый день","Электроника"
"архитектура и дизайн","Дом"
"уют и декор дома","Дом"
"растения в интерьере","Дом"
"мультиварки и кухонная техника","Бытовая техника"
"кофеварки и чайники","Бытовая техника"
"сборка роботов и электроники","Электроника"
"рисование акварелью","Творчество"
"скульптура и лепка","Творчество"
"вышивка крестиком","Творчество"
"фотография и камеры","Электроника"
"гаджеты для дома","Бытовая техника"
"автозвук и колонки","Электроника"
"фитнес-клуб и тренировки","Спорт"
"велопоездки на природе","Спорт"
"путешествия и палатки","Дом"
"собираю пазлы","Творчество"
"играю на гитаре","Творчество"
"пение и музыка","Творчество"
"выпечка и рецепты","Бытовая техника"
"книги по саморазвитию","Книги"
"компьютерные игры","Электроника"
"настольные игры","Творчество"
"сделать ремонт в квартире","Дом"
"электронные книги","Электроника"
"походы и кемпинг","Дом"
"спортзал и тренажёры","Спорт"
"модели самолётов","Творчество"
"ручная работа и DIY","Творчество"
"здоровое питание и блюда","Бытовая техника"
"медитация и релакс","Дом"
"дайвинг и плавание","Спорт"
"автомобильная аудиосистема","Электроника"
"люблю детские книги","Книги"
"садоводство и огород","Дом"
"керамика и гончарное ремесло","Творчество"
"линзы и фотоаксессуары","Электроника"
"ремонт велосипедов","Спорт"
"чайные церемонии","Дом"
"графический дизайн и Photoshop","Электроника"
"шитьё и вязание","Творчество"
"бариста и латте-арт","Бытовая техника"
"лежу на пляже и загораю","Дом"
"учусь программировать","Электроника"
"путешествие на горные лыжи","Спорт"
"архивные фотографии","Творчество"
"электрощиты и монтаж","Дом"
"финансовые книги","Книги"
"бокс и единоборства","Спорт"
"сборка моделей кораблей","Творчество"
"робототехника в школе","Электроника"
"средневековая литература","Книги"
"организация мероприятий","Дом"
"минимализм в интерьере","Дом"
"туристическая навигация","Спорт"
"эспрессо дома","Бытовая техника"
"люблю настольные ролевые игры","Креатив"
"учусь вязать шарфы","Креатив"
"смотрю кулинарные шоу","Дом"
"планирую поход в горы","Спорт"
"занимаюсь фитнесом дома","Спорт"
"интересуюсь робототехникой","Электроника"
"люблю читать биографии","Книги"
"хочу научиться играть на пианино","Креатив"
"мои любимые фильмы — фантастика","Электроника"
"поездки на велосипеде по выходным","Спорт"
"разбираюсь в фотографии","Электроника"
"коллекционирую виниловые пластинки","Электроника"
"унюют и свечи в интерьере","Дом"
"собираю конструкторы Lego","Креатив"
"занятия тайцзи","Спорт"
"часами слушаю подкасты","Электроника"
"собираю старинные книги","Книги"
"люблю собирать пазлы на 2000 деталей","Креатив"
"готовлю по рецептам японской кухни","Бытовая техника"
"делаю скрапбукинг","Креатив"
"занятие йогой по утрам","Спорт"
"модельная аэрография","Креатив"
"собираю модели поездов","Креатив"
"люблю кроссворды и судоку","Креатив"
"путешествие на байдарках","Отдых"
"увлекаюсь аквариумистикой","Дом"
"ремонт электронных плат","Электроника"
"чтение комиксов","Книги"
"садоводство — выращиваю томаты","Дом"
"вышивка крестиком","Креатив"
"занимаюсь пилатесом","Спорт"
"люблю настольный теннис","Спорт"
"делаю 3D-печать моделей","Электроника"
"коллекционирую монеты","Креатив"
"готовлю итальянскую пасту","Бытовая техника"
"делаю домашние косметические маски","Дом"
"мои хобби — каллиграфия","Креатив"
"смотрю документальные фильмы","Электроника"
"учусь играть на гитаре","Креатив"
"фарфоровая роспись","Креатив"
"люблю бальные танцы","Спорт"
"разбираюсь в аудиотехнике","Электроника"
"домашняя фотолаборатория","Электроника"
"собираю модели самолётов","Креатив"
"занятия акварелью","Креатив"
"люблю читать исторические романы","Книги"
"составляю пазлы-головоломки","Креатив"
"учусь играть в шахматы","Креатив"
"интерьер в стиле лофт","Дом"
"ремонт мебели своими руками","Дом"
"походы в лес на выходных","Отдых"
"изучаю иностранные языки","Книги"
"слушаю классическую музыку","Электроника"
"гаджеты для умного дома","Электроника"
"занимаюсь верховой ездой","Спорт"
"бегаю марафоны","Спорт"
"рисую акрилом","Креатив"
"люблю документальную литературу","Книги"
"делаю домашнее пиво","Дом"
"изучаю астрономию","Книги"
"коллекционирую марки","Креатив"
"занятия боевыми искусствами","Спорт"
"модельный железнодорожный макет","Креатив"
"разбираюсь в программировании","Электроника"
"люблю читать фэнтези","Книги"
"путь здорового питания","Бытовая техника"
"создание ароматических свечей","Креатив"
"поездки на сноуборде","Спорт"
"чтение поэзии","Книги"
"занятия плаванием","Спорт"
"готовлю домашний хлеб","Бытовая техника"
"складываю коллекцию минералов","Креатив"
"мои любимые сериалы — драмы","Электроника"
"декоративно-прикладное искусство","Креатив"
"походы с палаткой","Отдых"
"искусство икебаны","Креатив"
"чтение техноблогов","Книги"
"люблю смотреть балет","Креатив"
"разучиваю новые рецепты","Бытовая техника"
"коллекционирую ретро-лампы","Дом"
"занятие каллиграфией","Креатив"
"люблю слушать джаз","Электроника"
"поездки на автодроме","Спорт"
"создание мультфильмов на ПК","Электроника"
"рисование граффити","Креатив"
"походы на рыбалку","Отдых"
"люблю читать детективные романы","Книги"
"занятие верховой ездой","Спорт"
"изучаю программирование на Python","Электроника"
"коллекционирую старинные открытки","Креатив"
"хочу заняться акварелью","Креатив"
"люблю слушать рок-музыку","Электроника"
"готовлю блюда азиатской кухни","Бытовая техника"
"занимаюсь каратэ","Спорт"
"читаю биографии великих людей","Книги"
"разбираюсь в видеомонтаже","Электроника"
"коллекционирую значки","Креатив"
"строю модели машин","Креатив"
"люблю медитировать","Дом"
"учусь графическому дизайну","Электроника"
"поездки на велосипеде","Спорт"
"готовлю торты","Бытовая техника"
"занимаюсь боксом","Спорт"
"чтение научно-популярных книг","Книги"
"видео игры на ПК","Электроника"
"люблю рисовать на планшете","Креатив"
"делаю домашний ремонт","Дом"
"изучаю иностранные языки","Книги"
"делаю DIY-проекты","Креатив"
"занятия кроссфитом","Спорт"
"чтение классики русской литературы","Книги"
"люблю слушать подкасты о бизнесе","Электроника"
"коллекционирую антикварную мебель","Дом"
"учусь шить самостоятельно","Креатив"
"походы на выходных","Отдых"
"запись музыки в домашней студии","Электроника"
"готовлю домашние соусы","Бытовая техника"
"занятие художественной гимнастикой","Спорт"
"чтение манги","Книги"
"играю в шахматы онлайн","Креатив"
"рисую комиксы","Креатив"
"люби слушать классику","Электроника"
"учусь водить машину","Дом"
"коллекционирую картины","Дом"
"занимаюсь танцами","Спорт"
"читаю книги по психологии","Книги"
"изучаю фотографию","Электроника"
"люблю флористику","Креатив"
"готовлю пиццу дома","Бытовая техника"
"поездки на байдарках","Отдых"
"занятия плаванием","Спорт"
"чтение философских трактатов","Книги"
"строю модели самолётов","Креатив"
"коллекционирую автографы","Креатив"
"люблю слушать электронную музыку","Электроника"
"делаю йогу по утрам","Спорт"
"учусь печь хлеб","Бытовая техника"
"рисую портреты","Креатив"
"читаю современную прозу","Книги"
"разбираюсь в аудиотехнике","Электроника"
"делаю керамику","Креатив"
"походы на природу","Отдых"
"занятие фитнесом в зале","Спорт"
"читаю блоги о путешествиях","Книги"
"снимаю короткометражки","Электроника"
"люблю вязать шарфы","Креатив"
"готовлю десерты","Бытовая техника"
"занятие воркаутом","Спорт"
"чтение поэзии","Книги"
"коллекционирую фигурки","Креатив"
"изучаю веб-разработку","Электроника"
"делаю макраме","Креатив"
"поездки на лыжах","Спорт"
"читаю книги по истории","Книги"
"учусь играть на саксофоне","Креатив"
"люблю слушать джаз","Электроника"
"готовлю суши","Бытовая техника"
"занимаюсь скалолазанием","Спорт"
"чтение комиксов Marvel","Книги"
"коллекционирую модели поездов","Креатив"
"изучаю робототехнику","Электроника"
"рисую пейзажи","Креатив"
"занятие стрельбой из лука","Спорт"
"чтение книг по кулинарии","Книги"
"делаю масло из оливок","Дом"
"играю на укулеле","Креатив"
"изучаю машинное обучение","Электроника"
"походы в поход","Отдых"
"занятия бегом","Спорт"
"читаю книги по инвестициям","Книги"
"коллекционирую модели автомобилей","Креатив"
"готовлю смузи","Бытовая техника"
"рисую акварелью","Креатив"
"люблю слушать рок","Электроника"
"занятие гимнастикой","Спорт"
"чтение классических трагедий","Книги"
